  -0.00017, -14.33670,   7.21216
   0.00284, -15.49663,  10.96861
   0.00595,  -3.51050,  26.01400
   0.00449,  -4.59414,  -1.23137
  -0.00890, -17.49762,  -4.93197
   0.00343,  -2.18230,   9.37848
   0.00463, -14.03897,   4.63853
   0.00090,   2.11274,   5.80162
  -0.00891,  -5.71019,   8.18374
   0.00095,  -6.28457,   4.49450
   0.00857,  -0.13851,  12.32340
  -0.00032,  -4.66932,   7.49262
   0.00653,  -3.58755,  -0.29446
   0.00531, -11.42164,  -2.76031
   0.00627,  -6.03746,  -1.89578
  -0.00861,   7.34384,  18.02453
   0.00364,  -5.45086,   0.82573
  -0.00452,  -8.60989,  -6.64887
  -0.00240,  -1.49725,  19.47803
  -0.00352,  11.68347,  18.32123
   0.00882,  -7.96167,  -2.35790
  -0.00050,   1.92636,  15.91310
  -0.00970,   2.89564,   2.99289
  -0.00892,  -7.58391,  -3.10191
   0.00170,  -3.93374,   0.01617
   0.00167,  -9.64548,   6.60181
  -0.00734,  -6.76246,   2.54832
  -0.00246,  -8.43114,  -5.17096
  -0.00132, -22.87754,  -8.22592
  -0.00239,  -4.06067,   4.37503
  -0.00201, -10.31151,  19.66105
  -0.00934, -11.40304,  -3.78565
   0.00759,  -3.98987,   8.22552
  -0.00299,   2.15380,   3.43837
  -0.00494,   0.08676,   1.04894
  -0.00576,  -6.25344,   8.90881
   0.00497,  -5.04251,   7.10102
   0.00007, -11.72216,   0.78367
   0.00264,  -2.61518,  13.78642
  -0.00239,  -6.23617,   2.25292
   0.00716,  -8.79550,   4.20189
  -0.00658, -13.77154,  -4.68597
   0.00992,   5.69291,   9.72180
   0.00440,  -3.65226,   7.10241
   0.00064, -16.12598,   5.23350
   0.00541,  -5.97653,   2.11512
  -0.00314, -10.11082,  -0.10240
   0.00723,   3.98794,  33.93519
  -0.00553,  -1.53118,   5.97308
   0.00783,  -8.37974,  -4.32097
